Date,Close
1/3/2017,37.06
1/4/2017,37.93
1/5/2017,36.91
1/6/2017,37.13
1/9/2017,36.9
1/10/2017,36.96
1/11/2017,36.36
1/12/2017,36.13
1/13/2017,36.32
1/17/2017,35.51
1/18/2017,35.9
1/19/2017,35.61
1/20/2017,36.24
1/23/2017,35.77
1/24/2017,36.08
1/25/2017,35.91
1/26/2017,36.69
1/27/2017,36.63
1/30/2017,36.47
1/31/2017,35.82
2/1/2017,36
2/2/2017,35.34
2/3/2017,36.51
2/6/2017,36.45
2/7/2017,36.05
2/8/2017,35.77
2/9/2017,36.49
2/10/2017,36.22
2/13/2017,36.65
2/14/2017,37.32
2/15/2017,37.28
2/16/2017,36.85
2/17/2017,36.68
2/21/2017,36.86
2/22/2017,36.78
2/23/2017,36.63
2/24/2017,36.48
2/27/2017,36.94
2/28/2017,36.24
3/1/2017,36.89
3/2/2017,35.97
3/3/2017,36.05
3/6/2017,35.58
3/7/2017,35.6
3/8/2017,35.71
3/9/2017,35.85
3/10/2017,36.01
3/13/2017,36.03
3/14/2017,35.92
3/15/2017,35.8
3/16/2017,35.83
3/17/2017,35.12
3/20/2017,34.2
3/21/2017,33.02
3/22/2017,33.08
3/23/2017,33.43
3/24/2017,33.31
3/27/2017,32.74
3/28/2017,33.66
3/29/2017,33.78
3/30/2017,34.43
3/31/2017,34.3
4/3/2017,33.76
4/4/2017,33.73
4/5/2017,33.26
4/6/2017,33.23
4/7/2017,33.16
4/10/2017,32.87
4/11/2017,33.05
4/12/2017,32.81
4/13/2017,32.37
4/17/2017,33.02
4/18/2017,32.85
4/19/2017,33
4/20/2017,33.85
4/21/2017,33.38
4/24/2017,33.9
4/25/2017,33.82
4/26/2017,33.23
4/27/2017,33.05
4/28/2017,27.8
5/1/2017,27.94
5/2/2017,28.87
5/3/2017,28.77
5/4/2017,28.67
5/5/2017,28.61
5/8/2017,28.38
5/9/2017,28.1
5/10/2017,27.76
5/11/2017,26.93
5/12/2017,26.59
5/15/2017,27.11
5/16/2017,26.84
5/17/2017,26.5
5/18/2017,26.5
5/19/2017,26.84
5/22/2017,26.91
5/23/2017,26.84
5/24/2017,26.8
5/25/2017,27.23
5/26/2017,27.37
5/30/2017,27.1
5/31/2017,26.85
6/1/2017,27.22
6/2/2017,27.4
6/5/2017,27.96
6/6/2017,28.29
6/7/2017,28.87
6/8/2017,28.67
6/9/2017,28.7
6/12/2017,28.76
6/13/2017,28.99
6/14/2017,29.23
6/15/2017,29.47
6/16/2017,29.33
6/19/2017,29.42
6/20/2017,29.44
6/21/2017,29.7
6/22/2017,29.3
6/23/2017,28.97
6/26/2017,29.68
6/27/2017,29.44
6/28/2017,29.8
6/29/2017,29.55
6/30/2017,29.82
7/3/2017,30.06
7/5/2017,29.78
7/6/2017,29.38
7/7/2017,29.7
7/10/2017,29.13
7/11/2017,29.1
7/12/2017,29.33
7/13/2017,29.36
7/14/2017,29.48
7/17/2017,29.65
7/18/2017,29.33
7/19/2017,29.51
7/20/2017,29.53
7/21/2017,30.87
7/24/2017,30.74
7/25/2017,30.89
7/26/2017,30.57
7/27/2017,30.34
7/28/2017,29.94
7/31/2017,30.32
8/1/2017,29.88
8/2/2017,30.06
8/3/2017,29.91
8/4/2017,29.87
8/7/2017,30.4
8/8/2017,30.72
8/9/2017,30.25
8/10/2017,29.32
8/11/2017,29.2
8/14/2017,29.64
8/15/2017,30.99
8/16/2017,30.87
8/17/2017,30.1
8/18/2017,30.07
8/21/2017,30.26
8/22/2017,30.34
8/23/2017,30.31
8/24/2017,30.46
8/25/2017,30.54
8/28/2017,30.29
8/29/2017,30.12
8/30/2017,30.66
8/31/2017,30.79
9/1/2017,30.92
9/5/2017,29.87
9/6/2017,29.96
9/7/2017,29.06
9/8/2017,28.55
9/11/2017,29.15
9/12/2017,29.19
9/13/2017,29.32
9/14/2017,28.7
9/15/2017,29.02
9/18/2017,29.26
9/19/2017,29.09
9/20/2017,29
9/21/2017,28.89
9/22/2017,29.47
9/25/2017,29.56
9/26/2017,29.94
9/27/2017,30.94
9/28/2017,31.19
9/29/2017,31.05
10/2/2017,31.48
10/3/2017,31.72
10/4/2017,31.31
10/5/2017,31.66
10/6/2017,31.31
10/9/2017,31.44
10/10/2017,31.75
10/11/2017,31.42
10/12/2017,30.64
10/13/2017,30.82
10/16/2017,31.5
10/17/2017,30.98
10/18/2017,31.51
10/19/2017,31.71
10/20/2017,33.04
10/23/2017,32.68
10/24/2017,32.65
10/25/2017,32.38
10/26/2017,32.87
10/27/2017,32.94
10/30/2017,32.6
10/31/2017,32.62
11/1/2017,32.83
11/2/2017,33.22
11/3/2017,33.11
11/6/2017,32.77
11/7/2017,32.36
11/8/2017,32.07
11/9/2017,32.09
11/10/2017,32.07
11/13/2017,32.59
11/14/2017,32.56
11/15/2017,32.53
11/16/2017,33.38
11/17/2017,33.86
11/20/2017,33.86
11/21/2017,33.77
11/22/2017,33.67
11/24/2017,33.49
11/27/2017,33.21
11/28/2017,34.49
11/29/2017,35.35
11/30/2017,35.89
12/1/2017,35.94
12/4/2017,37.45
12/5/2017,37.31
12/6/2017,37.39
12/7/2017,37.34
12/8/2017,37.5
12/11/2017,37.59
12/12/2017,37.36
12/13/2017,36.64
12/14/2017,36.99
12/15/2017,37.19
12/18/2017,38.51
12/19/2017,38.18
12/20/2017,37.96
12/21/2017,38.6
12/22/2017,38.77
12/26/2017,38.71
12/27/2017,38.6
12/28/2017,38.97
12/29/2017,38.61
1/2/2018,38.86
1/3/2018,39.12
1/4/2018,39.4
1/5/2018,39.74
1/8/2018,39.26
1/9/2018,39.44
1/10/2018,39.66
1/11/2018,39.76
1/12/2018,39.37
1/16/2018,37.93
1/17/2018,38.06
1/18/2018,37.3
1/19/2018,38.47
1/22/2018,39.52
1/23/2018,39.78
1/24/2018,39.74
1/25/2018,39.58
1/26/2018,40.21
1/29/2018,40.16
1/30/2018,39.63
1/31/2018,39.68
